ID,Area(m2),Area(km2),Average Distance to Ambulance Station,<- Inverse,<- Percentage,Average Distance to Fire Station,<- Inverse,<- Percentage,Average Distance to Police Station,<- Inverse,<- Percentage,2008 Ambulance Calls,<- Per Area(km2),<- Percentage,2011 Fire Medical Calls + Fire Vehicle Incidents + Fires & Fire Alarms,<- Per Area(km2),<- Percentage,2011 Total Major Crime Incidents,<- Per Area(km2),<- Percentage,,,,,,,,
22,4423744.592,4.423744592,0.014476237,69.07872544,0.006912366,0.015435349,64.78635639,0.004749988,0.015434734,64.78893463,0.008534096,896,202.5433389,0.00278322,501,113.2524696,0.002414104,345,77.98822759,0.004650258,,,,,,,,
23,4278172.927,4.278172927,0.021826849,45.81513416,0.004584493,0.019267368,51.90122402,0.003805279,0.036532383,27.37297464,0.003605609,765,178.8146513,0.002457156,648,151.4665281,0.003228679,222,51.89131056,0.003094159,,,,,,,,
24,3455427.803,3.455427803,0.020111681,49.72234784,0.004975469,0.020376988,49.07496584,0.003598064,0.01188617,84.13138965,0.011081913,1712,495.4524005,0.006808188,1148,332.2309321,0.007081876,572,165.5366665,0.00987057,,,,,,,,
25,5152136.981,5.152136981,0.00995299,100.472323,0.010053767,0.009822001,101.812249,0.007464642,0.01894438,52.78610294,0.006953065,2430,471.6489505,0.006481096,1371,266.1031733,0.005672288,734,142.4651563,0.008494869,,,,,,,,
26,14998913.83,14.99891383,0.015609682,64.06280216,0.006410447,0.013348751,74.91337392,0.005492477,0.031361468,31.88626244,0.004200106,3113,207.5483622,0.002851996,2068,137.8766505,0.002938996,981,65.40473606,0.003899934,,,,,,,,
27,13252544.1,13.2525441,0.019972539,50.06874736,0.005010131,0.014041235,71.21880762,0.0052216,0.039676439,25.20387465,0.003319892,2605,196.5660314,0.002701084,1948,146.9906446,0.003133271,776,58.55479475,0.003491488,,,,,,,,
28,2097305.186,2.097305186,0.016733732,59.7595339,0.00597984,0.012846819,77.84027841,0.005707071,0.021093202,47.4086381,0.006244737,887,422.923667,0.005811545,644,307.0607008,0.006545344,233,111.094943,0.006624336,,,,,,,,
29,2527589.508,2.527589508,0.014409763,69.39739253,0.006944253,0.010267111,97.39838606,0.007141027,0.019013632,52.59384484,0.00692774,778,307.8031451,0.004229633,460,181.9915768,0.003879355,117,46.28916192,0.002760116,,,,,,,,
30,3508841.428,3.508841428,0.012662788,78.97155083,0.007902292,0.009926036,100.7451545,0.007386405,0.011464248,87.22769932,0.011489763,1139,324.6085705,0.004460562,666,189.8062405,0.004045933,371,105.7329057,0.00630461,,,,,,,,
31,6040853.15,6.04085315,0.01313425,76.13681641,0.007618634,0.016521571,60.52693274,0.004437696,0.009827217,101.7582135,0.013403745,2095,346.8053184,0.004765575,1272,210.566284,0.004488457,551,91.21228183,0.005438778,,,,,,,,
32,3479554.767,3.479554767,0.021341302,46.85749765,0.004688798,0.011614076,86.10241559,0.006312832,0.019657572,50.87098347,0.006700802,1299,373.3236253,0.005129973,984,282.7948016,0.006028089,376,108.0598022,0.006443357,,,,,,,,
33,4144266.388,4.144266388,0.012528494,79.81805517,0.007986997,0.014154864,70.64709426,0.005179684,0.030091602,33.2318629,0.004377351,935,225.6129101,0.003100227,596,143.8131491,0.003065539,291,70.21749394,0.004186908,,,,,,,,
34,4762406.984,4.762406984,0.012611253,79.2942597,0.007934584,0.014718091,67.94359514,0.004981469,0.041871033,23.88285929,0.003145886,1474,309.5073573,0.004253051,931,195.4893824,0.004167076,170,35.69623524,0.002128484,,,,,,,,
35,3669335.241,3.669335241,0.010683371,93.60341258,0.00936643,0.010918819,91.58499611,0.006714803,0.037553058,26.62899001,0.003507611,1430,389.7163671,0.005355231,846,230.5594731,0.004914634,323,88.02684376,0.005248838,,,,,,,,
36,4697578.782,4.697578782,0.014290355,69.97726997,0.007002279,0.014294696,69.9560191,0.005129016,0.022855381,43.75337228,0.00576326,1940,412.9787046,0.005674887,826,175.8352629,0.003748126,392,83.4472434,0.004975767,,,,,,,,
37,2884598.397,2.884598397,0.008992113,111.2085629,0.01112809,0.008988413,111.254346,0.008156915,0.013017666,76.81868618,0.010118673,812,281.4949911,0.003868123,445,154.2675752,0.003288387,168,58.24034299,0.003472738,,,,,,,,
38,5348444.925,5.348444925,0.012079402,82.78555846,0.008283941,0.016714533,59.82817326,0.004386465,0.021187113,47.19850171,0.006217057,1028,192.2054007,0.002641163,705,131.8140151,0.002809764,186,34.77646355,0.00207364,,,,,,,,
39,5520507.139,5.520507139,0.020680838,48.35394061,0.004838539,0.010289013,97.1910481,0.007125826,0.028846062,34.66677739,0.00456636,2581,467.5295104,0.00642449,1380,249.9770338,0.005328541,375,67.92854181,0.004050423,,,,,,,,
40,7302532.427,7.302532427,0.028408818,35.20033823,0.003522323,0.010122568,98.78915935,0.007242995,0.0231518,43.19318506,0.005689471,1225,167.7500254,0.002305113,951,130.2287952,0.002775973,235,32.18061712,0.001918856,,,,,,,,
41,8841877.645,8.841877645,0.016072226,62.21913452,0.00622596,0.013866241,72.11759677,0.005287497,0.029486033,33.91436161,0.004467251,1144,129.3842831,0.001777916,627,70.91253975,0.00151158,104,11.76220755,0.000701353,,,,,,,,
42,10045355.33,10.04535533,0.030017645,33.3137394,0.003333541,0.010862627,92.05876586,0.006749538,0.017755042,56.32203032,0.007418822,2185,217.5134604,0.00298893,1356,134.9877585,0.002877416,279,27.77402996,0.001656101,,,,,,,,
43,4756986.013,4.756986013,0.018463945,54.15960741,0.005419484,0.008666886,115.3816994,0.008459523,0.016643972,60.08181169,0.007914066,1022,214.8419182,0.002952219,605,127.1813704,0.002711014,221,46.45798819,0.002770183,,,,,,,,
44,2474154.389,2.474154389,0.02775633,36.02781837,0.003605125,0.013381277,74.73128375,0.005479127,0.022592143,44.26317613,0.005830412,1447,584.8462837,0.008036581,978,395.2865691,0.008425977,354,143.0791876,0.008531483,,,,,,,,
45,7467131.346,7.467131346,0.022162221,45.12183206,0.004515118,0.012826554,77.96326486,0.005716088,0.019698408,50.76552354,0.006686911,1988,266.2334313,0.003658408,1382,185.0777676,0.003945141,423,56.64826028,0.003377805,,,,,,,,
46,2968522.231,2.968522231,0.01576802,63.41950418,0.006346076,0.01278612,78.20981017,0.005734165,0.035444765,28.21291124,0.003716247,725,244.2292642,0.003356041,450,151.5905778,0.003231323,127,42.78222972,0.002551006,,,,,,,,
47,4213931.548,4.213931548,0.016809568,59.48992716,0.005952862,0.009074216,110.2023598,0.008079785,0.02968403,33.68814859,0.004437453,1576,373.9975323,0.005139233,909,215.7130437,0.004598166,449,106.5513274,0.00635341,,,,,,,,
48,5397566.981,5.397566981,0.031305626,31.9431397,0.003196392,0.013685161,73.07184987,0.005357461,0.049299299,20.28426417,0.002671874,847,156.9225547,0.002156329,642,118.9424795,0.002535393,184,34.08943338,0.002032674,,,,,,,,
49,4090512.011,4.090512011,0.0146778,68.13010271,0.006817442,0.014428991,69.30491536,0.005081278,0.041645452,24.01222608,0.003162926,949,232.0002967,0.003187999,545,133.2351546,0.002840057,96,23.46894466,0.001399399,,,,,,,,
50,4086284.607,4.086284607,0.012817463,78.01855994,0.007806931,0.012818062,78.01491326,0.005719875,0.022210864,45.02301206,0.005930499,1973,482.8346994,0.006634804,1134,277.5137096,0.005915516,275,67.29829819,0.004012843,,,,,,,,
51,5063047.322,5.063047322,0.014086406,70.99042942,0.00710366,0.01252782,79.82234962,0.005852392,0.016215196,61.67054798,0.008123337,2533,500.291591,0.006874685,1639,323.7180883,0.006900415,485,95.79211276,0.005711863,,,,,,,,
52,5161146.591,5.161146591,0.021610864,46.27302176,0.004630312,0.012874529,77.6727436,0.005694788,0.031998122,31.25183391,0.004116538,1373,266.0261583,0.00365556,709,137.3725756,0.002928251,132,25.57571223,0.001525021,,,,,,,,
53,2594152.514,2.594152514,0.009931203,100.6927334,0.010075823,0.008200474,121.9441726,0.008940668,0.019407246,51.5271472,0.006787233,750,289.1117603,0.003972788,470,181.1767031,0.003861985,134,51.65463451,0.003080047,,,,,,,,
54,4878422.322,4.878422322,0.019800085,50.50483297,0.005053768,0.014039709,71.22654756,0.005222168,0.013450487,74.34675016,0.009793065,1163,238.3967445,0.003275895,855,175.2615792,0.003735897,409,83.83857997,0.004999102,,,,,,,,
55,3127654.699,3.127654699,0.01628676,61.39956688,0.00614395,0.010527045,94.99341912,0.0069647,0.038209799,26.17129718,0.003447323,1463,467.7626339,0.006427693,877,280.4017976,0.005977079,253,80.89128256,0.004823361,,,,,,,,
56,4786627.121,4.786627121,0.015693909,63.71898887,0.006376043,0.010528781,94.97775236,0.006963552,0.034049748,29.36879297,0.003868501,874,182.5920378,0.002509062,535,111.7697256,0.002382497,178,37.18693675,0.002217371,,,,,,,,
57,1746620.571,1.746620571,0.007657947,130.5833082,0.013066825,0.013593818,73.562848,0.00539346,0.037589362,26.60327128,0.003504223,702,401.9190039,0.005522912,470,269.091071,0.005735978,186,106.49136,0.006349835,,,,,,,,
58,2350713.14,2.35071314,0.013229173,75.59051718,0.007563968,0.007719876,129.5357565,0.009497266,0.029770478,33.5903239,0.004424568,748,318.2013098,0.004372518,477,202.9171454,0.004325407,134,57.00397795,0.003399016,,,,,,,,
59,2189388.802,2.189388802,0.010635332,94.02621456,0.009408737,0.007163694,139.5927851,0.010234624,0.026552673,37.66099147,0.004960762,1157,528.4579873,0.007261729,512,233.85522,0.004984887,156,71.25276234,0.004248638,,,,,,,,
60,1196660.984,1.196660984,0.007159494,139.6746679,0.013976552,0.006547433,152.7316098,0.011197933,0.020654289,48.41609411,0.006377441,548,457.9408932,0.006292729,305,254.8758621,0.005432965,101,84.40151498,0.005032668,,,,,,,,
61,1063295.886,1.063295886,0.016736089,59.75111742,0.005978998,0.014292676,69.96590315,0.00512974,0.023371289,42.7875409,0.005636039,1386,1303.494181,0.017911778,753,708.17541,0.015095554,343,322.5818933,0.019234816,,,,,,,,
62,2639845.6,2.6398456,0.012295545,81.33027285,0.008138317,0.007359305,135.8823966,0.009962587,0.023052823,43.37863445,0.005713899,1712,648.5227771,0.008911582,1209,457.9813304,0.009762387,468,177.2830956,0.010570983,,,,,,,,
63,3597000.187,3.597000187,0.020404078,49.0098099,0.004904169,0.008508377,117.5312285,0.008617121,0.019711287,50.7323554,0.006682542,1808,502.6410636,0.00690697,557,154.8512569,0.003300828,292,81.17875585,0.004840502,,,,,,,,
64,1596218.571,1.596218571,0.011670852,85.68354522,0.008573928,0.011893881,84.07684477,0.006164322,0.009150054,109.2889694,0.014395707,943,590.7712246,0.008117998,600,375.888372,0.008012483,239,149.7288682,0.008927988,,,,,,,,
